Estado,Region,UE_estado,Poblacion(M),Superficie(km2),PIB_PC,Periodicos/milHab,Televisiones/milHab,%PIBedu
Albania,EE,candidato,3389,28748,360,49.0,89.0,
Alemania,UE,miembroEURO,80857,356755,25580,323.0,559.0,
Andorra,OT,no_miembro,61,453,15000,67.0,367.0,
Austria,UE,miembroEURO,7863,83849,24950,398.0,479.0,5.8
Bélgica,UE,miembroEURO,10046,30513,22920,310.0,453.0,5.1
Bielorrusia,EE,no_miembro,10188,207595,2160,186.0,272.0,5.3
Bosnia-Herzegovina,EE,candidato,3707,51129,700,131.0,,
Bulgaria,EE,miembroEURO,8870,110912,1160,164.0,260.0,5.8
Croacia,EE,miembroEURO,4511,56538,2530,532.0,338.0,
Dinamarca,UE,miembro,5165,43069,28110,332.0,538.0,7.4
Eslovaquia,EE,miembroEURO,5314,49035,2230,317.0,474.0,5.7
Eslovenia,EE,miembroEURO,1937,20521,7140,160.0,297.0,6.2
España,UE,miembroEURO,39514,504782,13280,104.0,400.0,4.6
Estonia,EE,miembroEURO,1553,45100,2820,,361.0,5.9
Finlandia,UE,miembroEURO,5058,337009,18850,512.0,504.0,7.2
Francia,UE,miembroEURO,57508,547026,23470,205.0,412.0,5.8
Grecia,UE,miembroEURO,10377,131994,7480,135.0,202.0,3.1
Holanda,UE,miembroEURO,15285,40844,21970,383.0,491.0,5.9
Hungría,EE,miembro,10210,93030,3840,282.0,427.0,6.7
Irlanda,UE,miembroEURO,3524,70283,13630,186.0,301.0,6.2
Islandia,OT,no_miembro,263,103000,24590,519.0,335.0,5.6
Italia,UE,miembroEURO,57127,301225,19270,106.0,429.0,5.4
Letonia,EE,miembroEURO,2611,64500,2290,98.0,460.0,6.7
Liechtenstein,OT,no_miembro,30,157,35000,653.0,337.0,
Lituania,EE,miembroEURO,3712,65200,1350,225.0,383.0,4.4
Luxemburgo,UE,miembroEURO,395,2586,39850,372.0,261.0,
Macedonia,EE,candidato,2119,25713,790,27.0,165.0,5.0
Malta,OT,miembroEURO,361,316,8000,150.0,745.0,4.6
Moldavia,EE,candidato,4408,33700,870,47.0,,6.5
Mónaco,OT,no_miembro,31,2,25000,258.0,739.0,
Noruega,UE,no_miembro,4299,324219,26480,607.0,427.0,8.4
Polonia,EE,miembro,38303,312677,2470,159.0,298.0,5.5
Portugal,UE,miembroEURO,9838,92082,9370,47.0,190.0,5.0
Reino Unido,UE,no_miembro,57924,244046,18410,383.0,435.0,5.2
República Checa,EE,miembro,10296,78864,3210,583.0,476.0,5.8
Rumania,EE,miembro,23023,237500,1230,324.0,200.0,3.6
Rusia,EE,no_miembro,147760,17075400,2650,387.0,372.0,4.4
San Marino,OT,no_miembro,24,61,20000,,352.0,
Suecia,UE,miembro,8694,449964,23630,511.0,470.0,8.3
Suiza,OT,no_miembro,7056,41288,23630,377.0,400.0,5.2
Ucrania,EE,candidato,51551,603700,1570,118.0,339.0,6.1
Yugoslavia,EE,no_miembro,10623,87968,1000,52.0,179.0,
